Place,Rent,Distance,Gender,WiFi,Food,Parking,Amenities,Combined
Mohabbewala,9700,8200.0,Male,Yes,Yes,Yes,"Transportation, Restaurants, Gym",Mohabbewala 9700 8200.0 Male Yes Yes Yes Transportation Restaurants Gym
"Lane-4, Clement Town",11800,3500.0,Male,No,Yes,Yes,"Gym, Medical Shops, Grocery Stores, Restaurants, Transportation",Lane-4 Clement Town 11800 3500.0 Male No Yes Yes Gym Medical Shops Grocery Stores Restaurants Transportation
Pant Road,8000,6400.0,Female,Yes,Yes,Yes,"Transportation, Gym, Restaurants, Medical Shops",Pant Road 8000 6400.0 Female Yes Yes Yes Transportation Gym Restaurants Medical Shops
Shubhash Nagar,10800,5400.0,Male,Yes,Yes,Yes,"Gym, Transportation, Medical Shops, Grocery Stores, Restaurants",Shubhash Nagar 10800 5400.0 Male Yes Yes Yes Gym Transportation Medical Shops Grocery Stores Restaurants
Tibetan Colony,9300,6800.0,Male,Yes,Yes,Yes,"Transportation, Grocery Stores",Tibetan Colony 9300 6800.0 Male Yes Yes Yes Transportation Grocery Stores
Tibetan Colony,6700,6800.0,Female,Yes,No,No,"Gym, Restaurants, Transportation, Medical Shops",Tibetan Colony 6700 6800.0 Female Yes No No Gym Restaurants Transportation Medical Shops
Shubhash Nagar,6700,5400.0,Male,No,Yes,No,"Medical Shops, Transportation, Grocery Stores",Shubhash Nagar 6700 5400.0 Male No Yes No Medical Shops Transportation Grocery Stores
Bell Road,9100,5800.0,Male,No,Yes,Yes,"Grocery Stores, Transportation, Gym, Restaurants",Bell Road 9100 5800.0 Male No Yes Yes Grocery Stores Transportation Gym Restaurants
"Lane-1, Clement Town",6900,2800.0,Male,No,Yes,No,Gym,Lane-1 Clement Town 6900 2800.0 Male No Yes No Gym
"Clement Town, Post Office Road, Lane No 10",12100,4000.0,Female,Yes,Yes,Yes,"Medical Shops, Restaurants, Gym, Grocery Stores, Transportation",Clement Town Post Office Road Lane No 10 12100 4000.0 Female Yes Yes Yes Medical Shops Restaurants Gym Grocery Stores Transportation
Bharuwala colony,3300,6200.0,Male,Yes,No,No,"Grocery Stores, Medical Shops",Bharuwala colony 3300 6200.0 Male Yes No No Grocery Stores Medical Shops
"Lane No 2C, Post Office Road, Clement Town, Dehradun",6800,4100.0,Female,No,No,Yes,Transportation,Lane No 2C Post Office Road Clement Town Dehradun 6800 4100.0 Female No No Yes Transportation
St Mary Church,3700,4400.0,Female,Yes,No,Yes,"Medical Shops, Gym",St Mary Church 3700 4400.0 Female Yes No Yes Medical Shops Gym
Manav Kendra,5900,3900.0,Female,Yes,No,Yes,"Gym, Transportation",Manav Kendra 5900 3900.0 Female Yes No Yes Gym Transportation
St Mary Church,5400,4400.0,Male,Yes,No,Yes,"Gym, Restaurants, Medical Shops",St Mary Church 5400 4400.0 Male Yes No Yes Gym Restaurants Medical Shops
"Lane-4, Clement Town",12500,3500.0,Male,Yes,No,Yes,"Restaurants, Gym, Transportation, Grocery Stores, Medical Shops",Lane-4 Clement Town 12500 3500.0 Male Yes No Yes Restaurants Gym Transportation Grocery Stores Medical Shops
St Mary Church,5200,4400.0,Female,No,Yes,No,"Gym, Grocery Stores, Transportation",St Mary Church 5200 4400.0 Female No Yes No Gym Grocery Stores Transportation
Mohabbewala,3600,8200.0,Male,Yes,No,Yes,"Medical Shops, Grocery Stores, Restaurants, Gym, Transportation",Mohabbewala 3600 8200.0 Male Yes No Yes Medical Shops Grocery Stores Restaurants Gym Transportation
Pant Road,6400,6400.0,Female,No,Yes,Yes,"Restaurants, Medical Shops, Gym, Grocery Stores",Pant Road 6400 6400.0 Female No Yes Yes Restaurants Medical Shops Gym Grocery Stores
"Subhash Nagar, Dehradun",10300,5300.0,Female,No,Yes,Yes,"Gym, Restaurants, Medical Shops",Subhash Nagar Dehradun 10300 5300.0 Female No Yes Yes Gym Restaurants Medical Shops
Pant Road,8700,6400.0,Female,Yes,No,Yes,"Medical Shops, Transportation, Grocery Stores, Restaurants",Pant Road 8700 6400.0 Female Yes No Yes Medical Shops Transportation Grocery Stores Restaurants
Mohabbewala,6700,8200.0,Male,Yes,Yes,Yes,"Medical Shops, Restaurants, Transportation, Grocery Stores",Mohabbewala 6700 8200.0 Male Yes Yes Yes Medical Shops Restaurants Transportation Grocery Stores
"Lane No 2C, Post Office Road, Clement Town, Dehradun",4600,4100.0,Female,Yes,No,No,"Restaurants, Medical Shops, Grocery Stores",Lane No 2C Post Office Road Clement Town Dehradun 4600 4100.0 Female Yes No No Restaurants Medical Shops Grocery Stores
Manav Kendra,3800,3900.0,Female,Yes,Yes,Yes,Gym,Manav Kendra 3800 3900.0 Female Yes Yes Yes Gym
Clement Town,4400,2700.0,Male,Yes,Yes,No,"Gym, Medical Shops, Transportation, Restaurants",Clement Town 4400 2700.0 Male Yes Yes No Gym Medical Shops Transportation Restaurants
Subhash Nagar,7400,5000.0,Male,No,Yes,No,"Gym, Transportation, Grocery Stores, Medical Shops, Restaurants",Subhash Nagar 7400 5000.0 Male No Yes No Gym Transportation Grocery Stores Medical Shops Restaurants
Clement Town,8000,2700.0,Female,No,Yes,No,"Restaurants, Grocery Stores, Medical Shops, Transportation, Gym",Clement Town 8000 2700.0 Female No Yes No Restaurants Grocery Stores Medical Shops Transportation Gym
Nehru Marg,9500,5700.0,Male,Yes,Yes,Yes,"Gym, Medical Shops, Transportation",Nehru Marg 9500 5700.0 Male Yes Yes Yes Gym Medical Shops Transportation
Manav Kendra,9200,3900.0,Male,No,Yes,Yes,"Gym, Grocery Stores, Transportation, Medical Shops, Restaurants",Manav Kendra 9200 3900.0 Male No Yes Yes Gym Grocery Stores Transportation Medical Shops Restaurants
Morowala,10000,7000.0,Female,No,No,Yes,Gym,Morowala 10000 7000.0 Female No No Yes Gym
"Lane-1, Clement Town",12600,2800.0,Female,No,Yes,No,Medical Shops,Lane-1 Clement Town 12600 2800.0 Female No Yes No Medical Shops
"Lane-3, Clement Town",3400,3300.0,Female,No,Yes,No,"Gym, Medical Shops, Restaurants, Transportation",Lane-3 Clement Town 3400 3300.0 Female No Yes No Gym Medical Shops Restaurants Transportation
Clement Town,6600,2700.0,Female,No,No,Yes,"Transportation, Medical Shops, Restaurants, Grocery Stores",Clement Town 6600 2700.0 Female No No Yes Transportation Medical Shops Restaurants Grocery Stores
Morowala,8500,7000.0,Female,Yes,No,No,Restaurants,Morowala 8500 7000.0 Female Yes No No Restaurants
Morowala,12900,7000.0,Male,Yes,No,No,"Restaurants, Transportation, Medical Shops",Morowala 12900 7000.0 Male Yes No No Restaurants Transportation Medical Shops
Nehru Marg,10100,5700.0,Male,No,Yes,No,Grocery Stores,Nehru Marg 10100 5700.0 Male No Yes No Grocery Stores
"Lane No 2C, Post Office Road, Clement Town, Dehradun",11100,4100.0,Male,No,Yes,Yes,Restaurants,Lane No 2C Post Office Road Clement Town Dehradun 11100 4100.0 Male No Yes Yes Restaurants
Manav Kendra,4000,3900.0,Female,Yes,No,Yes,Restaurants,Manav Kendra 4000 3900.0 Female Yes No Yes Restaurants
Clement Town,9300,2700.0,Male,Yes,Yes,Yes,Grocery Stores,Clement Town 9300 2700.0 Male Yes Yes Yes Grocery Stores
Clement Town,10300,2700.0,Male,Yes,No,Yes,Grocery Stores,Clement Town 10300 2700.0 Male Yes No Yes Grocery Stores
Bell Road,4300,5800.0,Female,Yes,Yes,Yes,"Grocery Stores, Restaurants",Bell Road 4300 5800.0 Female Yes Yes Yes Grocery Stores Restaurants
Manav Kendra,12600,3900.0,Female,No,Yes,No,"Medical Shops, Grocery Stores, Gym",Manav Kendra 12600 3900.0 Female No Yes No Medical Shops Grocery Stores Gym
"Lane-10, Post Office Road",9200,4200.0,Male,No,No,Yes,"Medical Shops, Gym",Lane-10 Post Office Road 9200 4200.0 Male No No Yes Medical Shops Gym
Manav Kendra,7000,3900.0,Female,No,Yes,Yes,"Medical Shops, Grocery Stores, Gym, Restaurants, Transportation",Manav Kendra 7000 3900.0 Female No Yes Yes Medical Shops Grocery Stores Gym Restaurants Transportation
Gurn Nanak Road,12900,5000.0,Female,Yes,Yes,Yes,"Gym, Medical Shops",Gurn Nanak Road 12900 5000.0 Female Yes Yes Yes Gym Medical Shops
Manav Kendra,3400,3900.0,Male,Yes,Yes,Yes,Transportation,Manav Kendra 3400 3900.0 Male Yes Yes Yes Transportation
Sahastradhara,6800,9500.0,Female,No,No,Yes,"Medical Shops, Restaurants",Sahastradhara 6800 9500.0 Female No No Yes Medical Shops Restaurants
Manav Kendra,4000,3900.0,Female,Yes,No,Yes,Grocery Stores,Manav Kendra 4000 3900.0 Female Yes No Yes Grocery Stores
ISBT Road,5400,3300.0,Female,No,Yes,No,"Medical Shops, Gym, Restaurants, Grocery Stores",ISBT Road 5400 3300.0 Female No Yes No Medical Shops Gym Restaurants Grocery Stores
Mohabbewala,10600,8200.0,Male,No,No,No,Restaurants,Mohabbewala 10600 8200.0 Male No No No Restaurants
Shubhash Nagar,12300,5400.0,Male,Yes,Yes,No,"Gym, Transportation, Grocery Stores, Restaurants, Medical Shops",Shubhash Nagar 12300 5400.0 Male Yes Yes No Gym Transportation Grocery Stores Restaurants Medical Shops
Nehru Marg,10400,5700.0,Male,Yes,No,Yes,"Medical Shops, Grocery Stores, Restaurants",Nehru Marg 10400 5700.0 Male Yes No Yes Medical Shops Grocery Stores Restaurants
"Lane-4, Clement Town",7300,3500.0,Male,Yes,No,Yes,"Medical Shops, Gym",Lane-4 Clement Town 7300 3500.0 Male Yes No Yes Medical Shops Gym
Bell Road,11200,5800.0,Male,No,No,Yes,"Medical Shops, Restaurants",Bell Road 11200 5800.0 Male No No Yes Medical Shops Restaurants
Tibetan Colony,9400,6800.0,Female,Yes,Yes,No,"Medical Shops, Transportation, Grocery Stores",Tibetan Colony 9400 6800.0 Female Yes Yes No Medical Shops Transportation Grocery Stores
"Lane-3, Clement Town",8200,3300.0,Female,No,No,No,"Gym, Medical Shops, Grocery Stores, Transportation, Restaurants",Lane-3 Clement Town 8200 3300.0 Female No No No Gym Medical Shops Grocery Stores Transportation Restaurants
Shubhash Nagar,6500,5400.0,Male,Yes,No,No,"Grocery Stores, Medical Shops, Restaurants",Shubhash Nagar 6500 5400.0 Male Yes No No Grocery Stores Medical Shops Restaurants
ISBT Road,4500,3300.0,Female,Yes,No,No,"Medical Shops, Grocery Stores, Restaurants",ISBT Road 4500 3300.0 Female Yes No No Medical Shops Grocery Stores Restaurants
Mohabbewala,6100,8200.0,Male,No,No,No,"Medical Shops, Gym, Grocery Stores",Mohabbewala 6100 8200.0 Male No No No Medical Shops Gym Grocery Stores
Jaligaon,12100,7500.0,Female,No,Yes,Yes,Grocery Stores,Jaligaon 12100 7500.0 Female No Yes Yes Grocery Stores
Mohabbewala,10400,8200.0,Female,No,No,No,"Medical Shops, Restaurants, Grocery Stores, Transportation",Mohabbewala 10400 8200.0 Female No No No Medical Shops Restaurants Grocery Stores Transportation
Tibetan Colony,6800,6800.0,Female,Yes,Yes,No,Medical Shops,Tibetan Colony 6800 6800.0 Female Yes Yes No Medical Shops
Manav Kendra,11600,3900.0,Male,Yes,No,No,Grocery Stores,Manav Kendra 11600 3900.0 Male Yes No No Grocery Stores
"Lane-1, Clement Town",8800,2800.0,Male,No,Yes,Yes,"Grocery Stores, Medical Shops, Restaurants, Gym, Transportation",Lane-1 Clement Town 8800 2800.0 Male No Yes Yes Grocery Stores Medical Shops Restaurants Gym Transportation
Mohabbewala,8000,8200.0,Male,No,No,Yes,Restaurants,Mohabbewala 8000 8200.0 Male No No Yes Restaurants
Gurn Nanak Road,3900,5000.0,Female,No,No,No,"Restaurants, Medical Shops",Gurn Nanak Road 3900 5000.0 Female No No No Restaurants Medical Shops
Subhash Nagar,6700,5000.0,Female,No,No,No,"Restaurants, Gym",Subhash Nagar 6700 5000.0 Female No No No Restaurants Gym
Air Force Colony,12500,6000.0,Female,No,Yes,No,"Medical Shops, Gym, Restaurants, Grocery Stores, Transportation",Air Force Colony 12500 6000.0 Female No Yes No Medical Shops Gym Restaurants Grocery Stores Transportation
Morowala,8700,7000.0,Female,No,No,Yes,Grocery Stores,Morowala 8700 7000.0 Female No No Yes Grocery Stores
Jaligaon,7800,7500.0,Male,No,No,Yes,"Grocery Stores, Gym, Medical Shops",Jaligaon 7800 7500.0 Male No No Yes Grocery Stores Gym Medical Shops
ISBT Road,6100,3300.0,Female,Yes,Yes,Yes,Medical Shops,ISBT Road 6100 3300.0 Female Yes Yes Yes Medical Shops
Shubhash Nagar,10500,5400.0,Male,No,No,No,"Grocery Stores, Gym",Shubhash Nagar 10500 5400.0 Male No No No Grocery Stores Gym
Jaligaon,3400,7500.0,Male,No,No,Yes,"Medical Shops, Transportation, Restaurants, Grocery Stores",Jaligaon 3400 7500.0 Male No No Yes Medical Shops Transportation Restaurants Grocery Stores
"Lane-4, Clement Town",6600,3500.0,Male,Yes,Yes,Yes,"Transportation, Gym, Restaurants, Grocery Stores",Lane-4 Clement Town 6600 3500.0 Male Yes Yes Yes Transportation Gym Restaurants Grocery Stores
Tibetan Colony,9900,6800.0,Male,Yes,No,No,"Gym, Medical Shops",Tibetan Colony 9900 6800.0 Male Yes No No Gym Medical Shops
Tibetan Colony,8900,6800.0,Male,No,No,No,Transportation,Tibetan Colony 8900 6800.0 Male No No No Transportation
Air Force Colony,3000,6000.0,Female,No,No,No,"Medical Shops, Gym, Transportation, Restaurants, Grocery Stores",Air Force Colony 3000 6000.0 Female No No No Medical Shops Gym Transportation Restaurants Grocery Stores
"Lane-2, Clement Town",12900,2900.0,Male,Yes,No,No,"Grocery Stores, Transportation, Restaurants, Gym, Medical Shops",Lane-2 Clement Town 12900 2900.0 Male Yes No No Grocery Stores Transportation Restaurants Gym Medical Shops
Nehru Marg,12600,5700.0,Female,Yes,No,No,"Gym, Medical Shops, Transportation, Restaurants",Nehru Marg 12600 5700.0 Female Yes No No Gym Medical Shops Transportation Restaurants
Pant Road,3300,6400.0,Male,No,Yes,No,Medical Shops,Pant Road 3300 6400.0 Male No Yes No Medical Shops
Gurn Nanak Road,5400,5000.0,Female,Yes,No,Yes,"Restaurants, Transportation, Gym, Medical Shops, Grocery Stores",Gurn Nanak Road 5400 5000.0 Female Yes No Yes Restaurants Transportation Gym Medical Shops Grocery Stores
Air Force Colony,3600,6000.0,Female,Yes,Yes,Yes,"Grocery Stores, Restaurants",Air Force Colony 3600 6000.0 Female Yes Yes Yes Grocery Stores Restaurants
Pant Road,12000,6400.0,Female,Yes,No,Yes,"Restaurants, Medical Shops, Grocery Stores",Pant Road 12000 6400.0 Female Yes No Yes Restaurants Medical Shops Grocery Stores
Air Force Colony,7500,6000.0,Female,No,No,Yes,"Restaurants, Transportation, Medical Shops",Air Force Colony 7500 6000.0 Female No No Yes Restaurants Transportation Medical Shops
Manav Kendra,11900,3900.0,Female,No,Yes,No,"Transportation, Restaurants, Gym, Medical Shops, Grocery Stores",Manav Kendra 11900 3900.0 Female No Yes No Transportation Restaurants Gym Medical Shops Grocery Stores
Subhash Nagar,10100,5000.0,Female,No,Yes,Yes,"Transportation, Restaurants",Subhash Nagar 10100 5000.0 Female No Yes Yes Transportation Restaurants
Nehru Marg,4700,5700.0,Male,No,Yes,Yes,"Gym, Transportation, Restaurants, Medical Shops, Grocery Stores",Nehru Marg 4700 5700.0 Male No Yes Yes Gym Transportation Restaurants Medical Shops Grocery Stores
Jaligaon,5100,7500.0,Female,Yes,No,No,"Restaurants, Medical Shops",Jaligaon 5100 7500.0 Female Yes No No Restaurants Medical Shops
Tibetan Colony,6300,6800.0,Female,No,No,No,"Gym, Medical Shops, Grocery Stores",Tibetan Colony 6300 6800.0 Female No No No Gym Medical Shops Grocery Stores
"Lane No 2C, Post Office Road, Clement Town, Dehradun",12400,4100.0,Male,Yes,Yes,No,"Transportation, Restaurants",Lane No 2C Post Office Road Clement Town Dehradun 12400 4100.0 Male Yes Yes No Transportation Restaurants
Jaligaon,5500,7500.0,Female,No,Yes,Yes,Transportation,Jaligaon 5500 7500.0 Female No Yes Yes Transportation
Morowala,10200,7000.0,Female,No,Yes,No,"Grocery Stores, Gym, Restaurants, Medical Shops",Morowala 10200 7000.0 Female No Yes No Grocery Stores Gym Restaurants Medical Shops
Jaligaon,12700,7500.0,Male,Yes,Yes,Yes,"Gym, Restaurants, Transportation",Jaligaon 12700 7500.0 Male Yes Yes Yes Gym Restaurants Transportation
Gurn Nanak Road,5800,5000.0,Male,No,Yes,No,"Restaurants, Gym, Transportation, Grocery Stores",Gurn Nanak Road 5800 5000.0 Male No Yes No Restaurants Gym Transportation Grocery Stores
Gurn Nanak Road,4900,5000.0,Male,Yes,No,No,"Transportation, Restaurants, Gym",Gurn Nanak Road 4900 5000.0 Male Yes No No Transportation Restaurants Gym
Nehru Marg,8200,5700.0,Male,No,Yes,No,"Gym, Transportation",Nehru Marg 8200 5700.0 Male No Yes No Gym Transportation
Clement Town,4400,2700.0,Male,Yes,No,No,Grocery Stores,Clement Town 4400 2700.0 Male Yes No No Grocery Stores
"Lane-3, Clement Town",10400,3300.0,Male,Yes,No,No,Transportation,Lane-3 Clement Town 10400 3300.0 Male Yes No No Transportation
ISBT Road,4100,3300.0,Male,Yes,Yes,No,"Restaurants, Transportation, Medical Shops, Gym, Grocery Stores",ISBT Road 4100 3300.0 Male Yes Yes No Restaurants Transportation Medical Shops Gym Grocery Stores
"Lane-1, Clement Town",3700,2800.0,Female,No,No,No,"Grocery Stores, Restaurants, Transportation, Gym, Medical Shops",Lane-1 Clement Town 3700 2800.0 Female No No No Grocery Stores Restaurants Transportation Gym Medical Shops
Morowala,8700,7000.0,Male,Yes,Yes,No,"Restaurants, Transportation, Medical Shops",Morowala 8700 7000.0 Male Yes Yes No Restaurants Transportation Medical Shops
ISBT Road,10500,3300.0,Male,Yes,Yes,No,"Gym, Medical Shops, Restaurants, Grocery Stores",ISBT Road 10500 3300.0 Male Yes Yes No Gym Medical Shops Restaurants Grocery Stores
Mohabbewala,8200,8200.0,Female,Yes,No,No,"Restaurants, Medical Shops, Transportation",Mohabbewala 8200 8200.0 Female Yes No No Restaurants Medical Shops Transportation
Jaligaon,11400,7500.0,Male,No,Yes,No,"Grocery Stores, Transportation, Restaurants",Jaligaon 11400 7500.0 Male No Yes No Grocery Stores Transportation Restaurants
Manav Kendra,9000,3900.0,Female,No,No,No,Restaurants,Manav Kendra 9000 3900.0 Female No No No Restaurants
Bell Road,10000,5800.0,Female,No,No,Yes,"Gym, Restaurants, Grocery Stores, Medical Shops, Transportation",Bell Road 10000 5800.0 Female No No Yes Gym Restaurants Grocery Stores Medical Shops Transportation
Jaligaon,10300,7500.0,Female,No,No,Yes,"Grocery Stores, Transportation, Medical Shops, Gym",Jaligaon 10300 7500.0 Female No No Yes Grocery Stores Transportation Medical Shops Gym
Morowala,12800,7000.0,Male,Yes,Yes,No,"Grocery Stores, Gym, Medical Shops",Morowala 12800 7000.0 Male Yes Yes No Grocery Stores Gym Medical Shops
"Lane-10, Post Office Road",11600,4200.0,Female,No,No,No,"Gym, Restaurants",Lane-10 Post Office Road 11600 4200.0 Female No No No Gym Restaurants
"Subhash Nagar, Dehradun",7700,5300.0,Female,Yes,Yes,Yes,"Medical Shops, Gym, Grocery Stores, Transportation",Subhash Nagar Dehradun 7700 5300.0 Female Yes Yes Yes Medical Shops Gym Grocery Stores Transportation
Clement Town,8200,2700.0,Female,No,No,Yes,"Grocery Stores, Transportation",Clement Town 8200 2700.0 Female No No Yes Grocery Stores Transportation
Subhash Nagar,4000,5000.0,Male,No,Yes,No,"Restaurants, Medical Shops",Subhash Nagar 4000 5000.0 Male No Yes No Restaurants Medical Shops
"Lane-2, Clement Town",6600,2900.0,Male,Yes,Yes,No,"Gym, Restaurants",Lane-2 Clement Town 6600 2900.0 Male Yes Yes No Gym Restaurants
Clement Town,5600,2700.0,Male,No,No,No,"Transportation, Grocery Stores",Clement Town 5600 2700.0 Male No No No Transportation Grocery Stores
Mohabbewala,5700,8200.0,Female,Yes,Yes,Yes,"Grocery Stores, Gym, Transportation, Medical Shops",Mohabbewala 5700 8200.0 Female Yes Yes Yes Grocery Stores Gym Transportation Medical Shops
Manav Kendra,6000,3900.0,Female,No,No,Yes,"Restaurants, Grocery Stores, Medical Shops, Gym, Transportation",Manav Kendra 6000 3900.0 Female No No Yes Restaurants Grocery Stores Medical Shops Gym Transportation
Mohabbewala,6600,8200.0,Female,No,Yes,No,"Restaurants, Transportation, Gym, Grocery Stores",Mohabbewala 6600 8200.0 Female No Yes No Restaurants Transportation Gym Grocery Stores
Gurn Nanak Road,10400,5000.0,Female,Yes,No,Yes,Restaurants,Gurn Nanak Road 10400 5000.0 Female Yes No Yes Restaurants
