Location,Rent (INR),Distance from College (km),Gender,WiFi,Distance from College (m),Food Availability,Parking Availability,Amenities
Bharuwala colony,5448,,Male,No,576.0,Yes,Yes,"Medical Shops, Gym"
"Clement Town, Post Office Road, Lane No 10",6043,,Female,No,304.0,Yes,Yes,"Transportation, Restaurants, Grocery Stores, Gym"
Bharuwala colony,7587,,Male,Yes,229.0,Yes,Yes,"Gym, Medical Shops, Grocery Stores, Transportation"
Bell Road,7213,,Female,No,343.0,Yes,Yes,"Grocery Stores, Transportation, Restaurants, Medical Shops"
"Clement Town, Post Office Road, Lane No 10",4171,,Female,Yes,992.0,No,Yes,Grocery Stores
Manav Kendra,5326,,Female,No,893.0,Yes,Yes,"Grocery Stores, Restaurants"
"Lane-3, Clement Town",4432,,Female,Yes,496.0,Yes,Yes,"Gym, Transportation, Grocery Stores, Restaurants"
Morowala,7821,,Male,Yes,789.0,Yes,No,"Grocery Stores, Medical Shops"
Air Force Colony,4017,,Male,No,397.0,Yes,No,"Gym, Medical Shops, Grocery Stores, Restaurants"
Sahastradhara,5513,,Male,No,647.0,No,Yes,"Gym, Grocery Stores, Transportation, Medical Shops"
Mohabbewala,5652,,Male,No,910.0,Yes,Yes,"Gym, Transportation, Medical Shops"
"Lane-3, Clement Town",4476,,Female,Yes,610.0,No,Yes,"Restaurants, Medical Shops, Grocery Stores"
"Subhash Nagar, Dehradun",4959,,Male,No,229.0,No,Yes,"Medical Shops, Restaurants"
Gurn Nanak Road,6489,,Female,Yes,867.0,Yes,Yes,"Grocery Stores, Restaurants, Medical Shops, Gym, Transportation"
"Lane-2, Clement Town",5641,,Female,No,276.0,No,Yes,"Medical Shops, Transportation, Grocery Stores, Restaurants, Gym"
"Lane-1, Clement Town",7054,,Male,No,538.0,Yes,No,"Restaurants, Grocery Stores, Medical Shops, Transportation"
Morowala,5460,,Female,No,333.0,No,Yes,"Medical Shops, Gym"
Tibetan Colony,5127,,Female,No,381.0,No,Yes,"Transportation, Restaurants, Gym, Medical Shops"
GK army Pre Primary School,4073,,Female,No,942.0,No,Yes,"Grocery Stores, Restaurants, Gym, Transportation"
Morowala,4218,,Male,No,671.0,No,Yes,Medical Shops
ISBT Road,4766,,Female,No,631.0,Yes,No,"Restaurants, Medical Shops, Transportation"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",7285,,Female,No,673.0,No,No,"Gym, Grocery Stores, Medical Shops"
Clement Town,5410,,Male,Yes,991.0,No,Yes,Transportation
Nehru Marg,5171,,Female,No,900.0,Yes,Yes,"Transportation, Gym, Grocery Stores, Medical Shops, Restaurants"
Shubhash Nagar,5321,,Female,Yes,581.0,Yes,No,"Restaurants, Transportation, Medical Shops, Gym"
St Mary Church,4724,,Male,Yes,831.0,No,No,Gym
Subhash Nagar,4364,,Female,Yes,700.0,No,No,"Grocery Stores, Medical Shops, Gym, Transportation, Restaurants"
St Mary Church,5919,,Female,Yes,772.0,No,No,"Restaurants, Gym"
"Subhash Nagar, Dehradun",7129,,Female,Yes,558.0,No,Yes,"Gym, Transportation"
Morowala,7757,,Female,No,259.0,Yes,Yes,"Transportation, Restaurants, Medical Shops"
Mohabbewala,5570,,Male,Yes,505.0,No,No,Gym
Manav Kendra,7440,,Female,No,495.0,Yes,No,"Transportation, Restaurants"
"Lane-10, Post Office Road",4674,,Male,Yes,812.0,Yes,Yes,"Restaurants, Medical Shops, Grocery Stores, Gym, Transportation"
Sahastradhara,6532,,Male,Yes,398.0,No,No,"Transportation, Medical Shops, Restaurants, Gym"
Jaligaon,6959,,Male,Yes,221.0,Yes,Yes,"Gym, Grocery Stores, Restaurants, Medical Shops, Transportation"
St Mary Church,5415,,Female,No,777.0,Yes,Yes,"Transportation, Gym"
Manav Kendra,4567,,Male,Yes,894.0,No,Yes,"Gym, Medical Shops, Grocery Stores, Transportation, Restaurants"
Manav Kendra,7947,,Female,Yes,642.0,Yes,No,"Grocery Stores, Restaurants, Gym, Transportation, Medical Shops"
Bharuwala colony,7321,,Male,Yes,376.0,No,No,"Medical Shops, Restaurants"
"Lane-4, Clement Town",4210,,Female,Yes,918.0,Yes,No,"Transportation, Medical Shops, Restaurants, Grocery Stores"
Bharuwala colony,7982,,Female,No,457.0,No,No,"Transportation, Medical Shops, Grocery Stores"
Clement Town,7366,,Male,Yes,291.0,No,Yes,Gym
Bharuwala colony,5628,,Female,No,842.0,No,Yes,"Transportation, Gym, Restaurants, Grocery Stores"
"Lane-4, Clement Town",6756,,Male,No,884.0,Yes,Yes,Grocery Stores
Nehru Marg,5324,,Female,Yes,335.0,Yes,No,"Grocery Stores, Medical Shops, Restaurants, Gym"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",5293,,Male,Yes,869.0,No,No,Restaurants
Shubhash Nagar,7173,,Male,No,691.0,Yes,No,"Restaurants, Transportation"
Jaligaon,7280,,Female,Yes,333.0,Yes,Yes,Transportation
ISBT Road,7891,,Male,Yes,240.0,No,No,"Transportation, Restaurants, Grocery Stores"
Air Force Colony,7418,,Female,Yes,676.0,Yes,Yes,"Transportation, Medical Shops"
Manav Kendra,5988,,Male,Yes,794.0,No,Yes,"Grocery Stores, Gym, Restaurants, Transportation, Medical Shops"
Jaligaon,7734,,Female,Yes,888.0,Yes,No,Grocery Stores
"Subhash Nagar, Dehradun",4061,,Male,No,781.0,Yes,Yes,"Gym, Restaurants"
"Lane-4, Clement Town",4495,,Male,No,760.0,Yes,Yes,"Transportation, Grocery Stores"
Gurn Nanak Road,6345,,Male,Yes,409.0,Yes,Yes,"Grocery Stores, Medical Shops, Transportation, Gym"
Pant Road,6653,,Female,No,293.0,Yes,No,Restaurants
Manav Kendra,7976,,Male,Yes,860.0,No,No,Transportation
Bharuwala colony,7467,,Male,No,266.0,Yes,No,"Medical Shops, Grocery Stores, Transportation"
Pant Road,4177,,Male,No,822.0,No,Yes,"Gym, Transportation, Grocery Stores, Restaurants, Medical Shops"
GK army Pre Primary School,7395,,Female,Yes,898.0,Yes,No,"Restaurants, Medical Shops"
"Subhash Nagar, Dehradun",6095,,Male,Yes,244.0,Yes,Yes,Transportation
"Lane-10, Post Office Road",5393,,Male,Yes,690.0,Yes,No,Grocery Stores
"Lane-1, Clement Town",7684,,Male,No,283.0,No,Yes,"Transportation, Medical Shops, Grocery Stores"
Morowala,6870,,Male,No,208.0,Yes,No,Restaurants
Gurn Nanak Road,7834,,Female,No,791.0,No,No,"Medical Shops, Gym, Grocery Stores, Restaurants"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",4699,,Male,No,408.0,No,No,Transportation
Clement Town,6525,,Male,Yes,347.0,No,Yes,"Restaurants, Grocery Stores, Medical Shops"
Tibetan Colony,5927,,Female,Yes,508.0,Yes,Yes,"Medical Shops, Gym, Grocery Stores"
Air Force Colony,6218,,Female,Yes,888.0,Yes,No,"Medical Shops, Grocery Stores"
Bharuwala colony,6631,,Female,Yes,616.0,Yes,Yes,Restaurants
"Lane-3, Clement Town",7978,,Female,Yes,875.0,No,Yes,"Medical Shops, Transportation, Gym"
St Mary Church,6779,,Male,No,417.0,Yes,No,"Restaurants, Gym, Grocery Stores"
Morowala,6285,,Female,No,323.0,No,No,Grocery Stores
"Lane-1, Clement Town",4407,,Female,Yes,364.0,No,Yes,Restaurants
Nehru Marg,6071,,Female,No,786.0,No,Yes,"Medical Shops, Grocery Stores, Transportation, Gym, Restaurants"
"Lane-10, Post Office Road",7477,,Male,No,773.0,Yes,No,Medical Shops
Sahastradhara,4976,,Male,Yes,414.0,Yes,Yes,Grocery Stores
Bell Road,6160,,Male,No,892.0,Yes,Yes,"Medical Shops, Restaurants, Gym, Grocery Stores"
"Lane-10, Post Office Road",5524,,Male,Yes,471.0,Yes,Yes,"Restaurants, Medical Shops, Gym"
Subhash Nagar,4000,,Male,Yes,448.0,No,Yes,"Gym, Transportation"
GK army Pre Primary School,5867,,Female,No,928.0,Yes,Yes,"Gym, Grocery Stores, Medical Shops, Transportation, Restaurants"
Bell Road,4514,,Male,Yes,788.0,No,Yes,"Transportation, Medical Shops"
ISBT Road,6961,,Male,Yes,656.0,No,Yes,"Grocery Stores, Transportation, Restaurants, Medical Shops, Gym"
"Lane-1, Clement Town",7605,,Female,No,773.0,Yes,No,"Restaurants, Gym"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",4706,,Male,Yes,414.0,No,Yes,"Transportation, Medical Shops, Gym, Grocery Stores, Restaurants"
"Lane-10, Post Office Road",6660,,Female,Yes,759.0,No,No,"Gym, Transportation, Medical Shops"
Jaligaon,6403,,Female,No,264.0,Yes,No,"Transportation, Gym, Restaurants, Grocery Stores"
St Mary Church,5975,,Male,No,739.0,No,Yes,"Gym, Transportation, Grocery Stores"
"Lane-4, Clement Town",5498,,Female,Yes,597.0,No,No,"Medical Shops, Gym, Grocery Stores, Restaurants, Transportation"
"Subhash Nagar, Dehradun",4247,,Male,Yes,786.0,No,Yes,"Restaurants, Gym"
Bell Road,7844,,Female,No,801.0,Yes,No,"Gym, Transportation, Medical Shops, Grocery Stores"
Pant Road,7190,,Male,Yes,274.0,No,No,"Restaurants, Transportation, Gym, Grocery Stores, Medical Shops"
Gurn Nanak Road,6534,,Female,No,555.0,No,No,"Grocery Stores, Transportation, Restaurants"
Nehru Marg,5598,,Female,Yes,602.0,No,Yes,"Medical Shops, Restaurants, Transportation"
"Lane-3, Clement Town",4306,,Female,No,935.0,No,Yes,"Grocery Stores, Gym"
ISBT Road,6308,,Female,No,690.0,No,Yes,"Gym, Medical Shops, Transportation, Restaurants"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",4044,,Female,Yes,743.0,No,Yes,"Transportation, Gym, Restaurants"
"Lane-3, Clement Town",4720,,Male,No,628.0,No,Yes,"Grocery Stores, Restaurants"
Subhash Nagar,7458,,Female,No,804.0,No,No,"Gym, Medical Shops, Restaurants, Grocery Stores, Transportation"
Gurn Nanak Road,7890,,Male,No,874.0,Yes,Yes,"Medical Shops, Restaurants, Transportation, Grocery Stores, Gym"
Shubhash Nagar,5950,,Male,Yes,770.0,Yes,Yes,"Grocery Stores, Medical Shops, Transportation"
"Subhash Nagar, Dehradun",4895,,Female,Yes,409.0,Yes,No,"Restaurants, Gym, Transportation, Grocery Stores"
"Lane-1, Clement Town",6126,,Male,No,909.0,Yes,Yes,"Grocery Stores, Restaurants, Medical Shops"
Gurn Nanak Road,4316,,Female,Yes,881.0,No,Yes,"Gym, Medical Shops, Grocery Stores, Transportation"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",5429,,Female,Yes,248.0,Yes,Yes,"Grocery Stores, Restaurants, Transportation"
"Clement Town, Post Office Road, Lane No 10",4615,,Male,Yes,847.0,No,Yes,Grocery Stores
St Mary Church,7577,,Female,No,692.0,No,No,"Transportation, Restaurants, Grocery Stores, Gym"
"Lane-10, Post Office Road",7827,,Male,Yes,555.0,No,No,"Gym, Grocery Stores, Medical Shops, Restaurants, Transportation"
"Lane-10, Post Office Road",7607,,Male,Yes,447.0,No,Yes,Medical Shops
Mohabbewala,4623,,Male,No,804.0,Yes,No,"Medical Shops, Restaurants, Transportation, Gym"
Bharuwala colony,7852,,Male,Yes,363.0,No,Yes,Restaurants
St Mary Church,4499,,Female,Yes,915.0,Yes,No,"Gym, Restaurants, Grocery Stores, Transportation, Medical Shops"
Clement Town,5358,,Male,Yes,670.0,Yes,Yes,"Medical Shops, Restaurants, Gym, Transportation, Grocery Stores"
"Lane-1, Clement Town",7119,,Male,No,640.0,Yes,Yes,"Restaurants, Medical Shops, Transportation, Grocery Stores, Gym"
Gurn Nanak Road,4861,,Male,No,995.0,Yes,Yes,"Transportation, Restaurants"
"Subhash Nagar, Dehradun",7089,,Male,Yes,209.0,Yes,Yes,Grocery Stores
Manav Kendra,4238,,Male,No,243.0,Yes,Yes,"Medical Shops, Gym, Restaurants, Grocery Stores, Transportation"
St Mary Church,4155,,Female,No,773.0,No,No,"Gym, Medical Shops"
"Lane-10, Post Office Road",6633,,Male,No,923.0,No,Yes,"Gym, Medical Shops, Transportation"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",4508,,Female,No,689.0,No,No,"Grocery Stores, Medical Shops, Transportation, Gym"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",5283,,Female,No,488.0,Yes,No,"Transportation, Grocery Stores, Medical Shops"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",7515,,Female,Yes,671.0,Yes,No,Restaurants
St Mary Church,4791,,Male,No,493.0,No,No,"Grocery Stores, Gym, Medical Shops, Restaurants"
Morowala,6104,,Female,Yes,494.0,Yes,No,Transportation
"Lane-10, Post Office Road",4690,,Male,No,958.0,No,Yes,"Grocery Stores, Restaurants, Medical Shops"
Manav Kendra,7806,,Female,No,961.0,No,No,"Grocery Stores, Gym"
Jaligaon,7527,,Female,No,359.0,Yes,No,"Transportation, Gym, Grocery Stores, Medical Shops"
"Lane-1, Clement Town",4562,,Male,Yes,333.0,No,No,"Medical Shops, Gym, Restaurants, Grocery Stores"
"Clement Town, Post Office Road, Lane No 10",6560,,Female,Yes,610.0,No,No,Transportation
"Lane-4, Clement Town",7586,,Female,Yes,664.0,Yes,Yes,"Medical Shops, Gym, Transportation, Restaurants, Grocery Stores"
"Lane-4, Clement Town",4779,,Female,No,234.0,No,Yes,"Restaurants, Grocery Stores, Gym, Transportation"
Sahastradhara,7683,,Female,Yes,572.0,Yes,No,"Gym, Transportation, Grocery Stores, Restaurants, Medical Shops"
Bharuwala colony,5918,,Female,No,990.0,No,No,"Transportation, Restaurants, Gym"
Bell Road,6995,,Male,Yes,765.0,Yes,Yes,"Grocery Stores, Gym, Medical Shops"
ISBT Road,5019,,Female,No,475.0,Yes,No,"Transportation, Gym, Grocery Stores, Medical Shops"
Jaligaon,7438,,Male,No,805.0,Yes,No,"Medical Shops, Grocery Stores, Transportation, Restaurants, Gym"
"Lane-3, Clement Town",5480,,Male,Yes,830.0,Yes,Yes,"Transportation, Grocery Stores"
"Lane-4, Clement Town",7131,,Female,No,540.0,Yes,No,"Gym, Restaurants, Transportation, Grocery Stores, Medical Shops"
Sahastradhara,4818,,Female,Yes,539.0,No,Yes,"Grocery Stores, Medical Shops, Restaurants, Gym"
Nehru Marg,5666,,Female,Yes,776.0,Yes,Yes,"Transportation, Medical Shops, Gym, Grocery Stores"
GK army Pre Primary School,5107,,Male,No,634.0,Yes,No,"Restaurants, Medical Shops"
Manav Kendra,7463,,Female,No,526.0,Yes,No,"Grocery Stores, Transportation, Restaurants, Medical Shops"
ISBT Road,6339,,Male,Yes,500.0,Yes,Yes,"Transportation, Grocery Stores, Medical Shops, Gym"
Pant Road,4993,,Male,Yes,805.0,No,No,"Medical Shops, Gym, Transportation"
St Mary Church,5621,,Female,Yes,352.0,No,No,Transportation
Nehru Marg,4445,,Female,Yes,634.0,No,No,"Transportation, Medical Shops, Grocery Stores, Restaurants, Gym"
Clement Town,7641,,Female,No,706.0,Yes,No,"Medical Shops, Gym, Transportation, Restaurants"
"Lane-2, Clement Town",5615,,Female,No,840.0,Yes,Yes,"Gym, Transportation"
"Lane-4, Clement Town",5708,,Male,Yes,398.0,No,Yes,"Medical Shops, Gym, Grocery Stores, Restaurants, Transportation"
"Clement Town, Post Office Road, Lane No 10",4345,,Male,No,334.0,Yes,Yes,Gym
ISBT Road,6136,,Male,No,469.0,Yes,No,Medical Shops
St Mary Church,5677,,Male,No,944.0,Yes,Yes,"Restaurants, Medical Shops"
"Subhash Nagar, Dehradun",7497,,Female,No,784.0,No,Yes,"Restaurants, Medical Shops, Transportation"
"Lane-3, Clement Town",5393,,Female,Yes,637.0,Yes,Yes,Grocery Stores
"Lane No 2C, Post Office Road, Clement Town, Dehradun",7407,,Female,Yes,445.0,Yes,Yes,"Transportation, Medical Shops, Restaurants"
Air Force Colony,4310,,Female,No,545.0,No,Yes,"Grocery Stores, Transportation"
Air Force Colony,7445,,Male,Yes,242.0,Yes,Yes,Restaurants
Nehru Marg,4556,,Female,No,801.0,No,No,"Medical Shops, Restaurants, Grocery Stores, Gym, Transportation"
"Clement Town, Post Office Road, Lane No 10",5884,,Male,No,620.0,Yes,No,"Transportation, Restaurants, Gym, Grocery Stores, Medical Shops"
Air Force Colony,6321,,Male,No,643.0,Yes,No,"Restaurants, Transportation, Grocery Stores, Gym, Medical Shops"
Mohabbewala,4111,,Female,Yes,460.0,Yes,Yes,"Medical Shops, Grocery Stores"
Gurn Nanak Road,6790,,Female,No,532.0,No,Yes,"Gym, Transportation, Restaurants"
Clement Town,6840,,Male,No,926.0,Yes,Yes,"Restaurants, Transportation, Gym, Medical Shops"
Tibetan Colony,6432,,Male,No,689.0,No,Yes,Gym
Clement Town,6625,,Male,No,306.0,Yes,No,"Grocery Stores, Transportation, Gym, Restaurants"
St Mary Church,4870,,Female,Yes,951.0,Yes,No,"Gym, Grocery Stores, Transportation"
Mohabbewala,6207,,Male,No,814.0,No,Yes,"Grocery Stores, Restaurants, Transportation, Gym, Medical Shops"
Gurn Nanak Road,4571,,Female,No,627.0,No,Yes,Transportation
Subhash Nagar,7039,,Male,Yes,216.0,No,Yes,Medical Shops
"Subhash Nagar, Dehradun",5725,,Male,No,958.0,No,No,"Gym, Transportation, Grocery Stores, Restaurants, Medical Shops"
Subhash Nagar,4362,,Male,Yes,376.0,Yes,Yes,"Restaurants, Transportation, Grocery Stores"
"Lane-3, Clement Town",5422,,Female,No,898.0,Yes,Yes,"Grocery Stores, Gym, Transportation, Medical Shops"
Mohabbewala,6406,,Female,Yes,200.0,Yes,No,"Gym, Grocery Stores"
ISBT Road,7923,,Female,Yes,289.0,Yes,Yes,"Medical Shops, Transportation, Gym, Grocery Stores, Restaurants"
"Lane-3, Clement Town",7720,,Female,No,469.0,No,No,Restaurants
Sahastradhara,5719,,Male,No,406.0,No,No,"Gym, Restaurants"
Subhash Nagar,6839,,Male,Yes,358.0,No,No,"Gym, Medical Shops, Grocery Stores"
Gurn Nanak Road,5579,,Female,No,654.0,No,Yes,"Gym, Medical Shops, Transportation, Restaurants"
"Subhash Nagar, Dehradun",5836,,Male,No,612.0,Yes,No,"Grocery Stores, Gym, Restaurants"
"Lane-4, Clement Town",4256,,Male,No,454.0,No,Yes,"Medical Shops, Transportation, Grocery Stores, Restaurants"
"Lane-2, Clement Town",6304,,Male,Yes,613.0,Yes,Yes,"Transportation, Restaurants"
"Lane-2, Clement Town",6112,,Female,No,477.0,Yes,No,"Grocery Stores, Transportation, Medical Shops, Gym"
St Mary Church,4025,,Female,Yes,764.0,No,Yes,"Grocery Stores, Gym, Medical Shops, Restaurants"
St Mary Church,4291,,Male,No,419.0,No,Yes,"Grocery Stores, Transportation, Gym"
Nehru Marg,7430,,Female,Yes,478.0,No,Yes,Restaurants
Gurn Nanak Road,5590,,Female,No,979.0,Yes,No,"Gym, Restaurants"
"Clement Town, Post Office Road, Lane No 10",4478,,Female,Yes,261.0,Yes,Yes,"Restaurants, Medical Shops, Grocery Stores, Transportation"
Pant Road,4153,,Male,Yes,703.0,Yes,No,"Grocery Stores, Gym, Restaurants, Transportation"
"Lane-3, Clement Town",6691,,Female,No,737.0,No,Yes,"Medical Shops, Restaurants, Grocery Stores, Transportation"
"Clement Town, Post Office Road, Lane No 10",7391,,Female,Yes,884.0,No,Yes,"Gym, Grocery Stores, Medical Shops, Restaurants"
Mohabbewala,6508,,Male,Yes,332.0,Yes,Yes,"Transportation, Medical Shops, Grocery Stores, Restaurants"
"Lane-10, Post Office Road",7573,,Male,Yes,345.0,Yes,No,"Gym, Medical Shops"
Sahastradhara,6109,,Male,No,405.0,No,No,"Gym, Grocery Stores, Restaurants"
St Mary Church,4469,,Male,No,757.0,No,No,"Grocery Stores, Medical Shops"
St Mary Church,7893,,Male,No,315.0,Yes,No,"Medical Shops, Gym, Grocery Stores"
Pant Road,6722,,Female,No,980.0,No,No,"Restaurants, Gym, Medical Shops, Grocery Stores"
Nehru Marg,4906,,Male,No,863.0,Yes,Yes,Restaurants
Pant Road,7773,,Male,Yes,329.0,No,Yes,"Gym, Transportation"
Pant Road,7003,,Male,No,607.0,Yes,Yes,"Medical Shops, Restaurants"
Bell Road,7676,,Male,No,276.0,Yes,No,Grocery Stores
Bharuwala colony,7837,,Male,Yes,736.0,Yes,Yes,"Medical Shops, Transportation, Gym, Grocery Stores, Restaurants"
Bharuwala colony,5148,,Female,Yes,331.0,Yes,Yes,"Medical Shops, Gym, Grocery Stores, Transportation"
"Lane-1, Clement Town",5900,,Male,Yes,245.0,No,Yes,"Transportation, Medical Shops"
Air Force Colony,5777,,Male,No,737.0,Yes,Yes,"Medical Shops, Transportation"
"Lane-2, Clement Town",6890,,Female,No,205.0,Yes,No,Grocery Stores
Sahastradhara,7025,,Male,No,403.0,No,No,"Restaurants, Transportation, Gym, Medical Shops"
St Mary Church,6750,,Male,No,787.0,No,No,Restaurants
Pant Road,7027,,Female,Yes,757.0,No,Yes,"Transportation, Restaurants, Grocery Stores, Gym"
Pant Road,7174,,Female,Yes,829.0,Yes,Yes,Gym
Shubhash Nagar,4787,,Male,Yes,227.0,Yes,No,Transportation
GK army Pre Primary School,5736,,Male,Yes,982.0,Yes,No,Transportation
Jaligaon,7869,,Male,No,393.0,No,Yes,"Transportation, Restaurants"
ISBT Road,5262,,Female,Yes,667.0,Yes,No,"Restaurants, Gym"
Manav Kendra,7245,,Female,Yes,610.0,Yes,No,Grocery Stores
"Lane-1, Clement Town",6975,,Female,Yes,628.0,No,Yes,"Medical Shops, Restaurants"
"Clement Town, Post Office Road, Lane No 10",6475,,Female,No,965.0,Yes,No,"Transportation, Restaurants"
"Lane-4, Clement Town",7270,,Male,No,885.0,Yes,No,"Grocery Stores, Gym, Restaurants"
Bell Road,6311,,Male,Yes,579.0,No,Yes,"Grocery Stores, Gym"
Morowala,7379,,Male,No,493.0,Yes,No,"Medical Shops, Transportation, Gym, Grocery Stores, Restaurants"
"Lane-4, Clement Town",5260,,Male,No,309.0,No,No,"Grocery Stores, Gym, Transportation"
St Mary Church,4284,,Male,Yes,236.0,No,Yes,"Grocery Stores, Restaurants, Medical Shops, Transportation, Gym"
Sahastradhara,6518,,Female,No,208.0,Yes,Yes,"Restaurants, Transportation"
"Subhash Nagar, Dehradun",6666,,Female,Yes,851.0,Yes,No,"Medical Shops, Grocery Stores, Gym, Transportation, Restaurants"
Shubhash Nagar,7522,,Male,No,615.0,Yes,Yes,"Restaurants, Gym, Medical Shops, Transportation"
Nehru Marg,4967,,Female,No,674.0,Yes,Yes,"Restaurants, Grocery Stores, Medical Shops"
Tibetan Colony,5910,,Male,Yes,253.0,No,No,"Restaurants, Transportation"
Tibetan Colony,6827,,Female,Yes,810.0,No,Yes,Medical Shops
Nehru Marg,7959,,Male,Yes,299.0,No,Yes,"Restaurants, Gym, Medical Shops"
"Lane-4, Clement Town",5242,,Female,Yes,667.0,No,Yes,"Grocery Stores, Transportation"
Bell Road,6506,,Female,No,756.0,No,Yes,"Restaurants, Grocery Stores, Gym"
"Subhash Nagar, Dehradun",6701,,Male,No,479.0,Yes,Yes,Grocery Stores
"Lane-3, Clement Town",6063,,Female,No,569.0,No,No,"Medical Shops, Gym"
"Subhash Nagar, Dehradun",7528,,Female,Yes,791.0,No,Yes,"Transportation, Medical Shops, Gym"
GK army Pre Primary School,6876,,Female,No,345.0,No,No,"Restaurants, Grocery Stores, Medical Shops, Transportation"
Sahastradhara,5585,,Female,No,786.0,Yes,Yes,"Gym, Medical Shops, Grocery Stores, Transportation"
Sahastradhara,6805,,Male,No,646.0,Yes,No,"Grocery Stores, Restaurants, Gym, Transportation, Medical Shops"
ISBT Road,6431,,Female,Yes,462.0,No,No,Grocery Stores
ISBT Road,6973,,Male,Yes,330.0,No,Yes,"Grocery Stores, Restaurants"
"Clement Town, Post Office Road, Lane No 10",7516,,Male,No,517.0,Yes,No,"Medical Shops, Restaurants"
GK army Pre Primary School,7349,,Male,Yes,628.0,Yes,Yes,"Grocery Stores, Transportation"
Air Force Colony,4330,,Male,No,676.0,No,Yes,Restaurants
"Clement Town, Post Office Road, Lane No 10",6102,,Female,No,637.0,No,Yes,"Transportation, Medical Shops"
Nehru Marg,7988,,Male,No,894.0,Yes,Yes,"Restaurants, Medical Shops, Gym, Transportation"
Bell Road,5021,,Male,Yes,589.0,No,No,"Gym, Grocery Stores, Transportation"
"Lane-1, Clement Town",5942,,Female,Yes,711.0,No,Yes,"Restaurants, Medical Shops, Gym, Grocery Stores"
"Subhash Nagar, Dehradun",7863,,Male,No,224.0,No,Yes,"Restaurants, Medical Shops, Grocery Stores, Gym, Transportation"
ISBT Road,4989,,Male,No,694.0,Yes,Yes,"Grocery Stores, Gym, Transportation, Restaurants"
St Mary Church,4920,,Male,Yes,303.0,Yes,Yes,"Transportation, Medical Shops, Restaurants, Gym, Grocery Stores"
Clement Town,5937,,Male,Yes,583.0,Yes,Yes,"Transportation, Restaurants"
Bell Road,5938,,Male,No,990.0,Yes,No,"Transportation, Gym"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",6981,,Female,Yes,454.0,Yes,Yes,"Gym, Grocery Stores, Transportation"
"Lane-4, Clement Town",6470,,Female,No,942.0,No,Yes,"Grocery Stores, Medical Shops, Transportation, Gym, Restaurants"
GK army Pre Primary School,7750,,Female,No,953.0,Yes,No,"Gym, Transportation, Medical Shops"
Clement Town,5310,,Male,Yes,543.0,Yes,No,"Restaurants, Gym, Medical Shops, Grocery Stores, Transportation"
Bharuwala colony,5836,,Male,Yes,268.0,No,Yes,"Gym, Grocery Stores, Medical Shops"
Shubhash Nagar,7885,,Female,No,381.0,Yes,No,Restaurants
Air Force Colony,6576,,Male,No,669.0,Yes,No,"Gym, Transportation, Medical Shops"
Nehru Marg,7171,,Female,No,596.0,No,No,"Grocery Stores, Medical Shops, Restaurants, Transportation, Gym"
Subhash Nagar,5474,,Female,No,935.0,No,No,"Medical Shops, Gym, Transportation, Restaurants, Grocery Stores"
GK army Pre Primary School,6380,,Female,Yes,491.0,Yes,No,"Transportation, Restaurants, Medical Shops, Gym"
Clement Town,7889,,Male,No,853.0,No,No,Restaurants
"Lane-4, Clement Town",4206,,Male,No,281.0,No,Yes,"Gym, Grocery Stores, Transportation, Restaurants, Medical Shops"
"Lane-1, Clement Town",7158,,Female,No,950.0,No,No,"Transportation, Medical Shops, Restaurants, Gym, Grocery Stores"
GK army Pre Primary School,6690,,Male,Yes,376.0,Yes,Yes,Gym
"Lane-3, Clement Town",6050,,Male,Yes,427.0,No,Yes,"Grocery Stores, Medical Shops, Transportation, Restaurants"
Air Force Colony,5434,,Female,No,741.0,Yes,Yes,"Grocery Stores, Gym, Transportation, Restaurants, Medical Shops"
Nehru Marg,7530,,Male,Yes,258.0,Yes,No,"Transportation, Gym, Medical Shops, Grocery Stores"
"Lane-3, Clement Town",4447,,Male,No,851.0,Yes,Yes,"Medical Shops, Gym, Transportation"
"Lane-10, Post Office Road",7257,,Female,Yes,332.0,No,No,"Transportation, Gym, Medical Shops, Restaurants"
St Mary Church,6902,,Female,No,351.0,Yes,No,Grocery Stores
"Lane-1, Clement Town",6901,,Male,Yes,519.0,Yes,No,"Grocery Stores, Gym, Restaurants, Transportation, Medical Shops"
GK army Pre Primary School,6275,,Female,Yes,778.0,Yes,Yes,Medical Shops
Bharuwala colony,5803,,Male,No,471.0,No,No,Medical Shops
Clement Town,5273,,Male,No,975.0,Yes,Yes,"Medical Shops, Gym, Grocery Stores"
Nehru Marg,4389,,Female,Yes,248.0,No,Yes,"Transportation, Restaurants, Medical Shops, Gym"
Nehru Marg,4275,,Male,No,982.0,Yes,No,"Medical Shops, Grocery Stores"
"Lane-4, Clement Town",6979,,Female,No,678.0,No,No,"Transportation, Restaurants, Grocery Stores, Medical Shops, Gym"
